question_text,question_type,answer_type,starter,created_at,updated_at,question_id,is_deleted,question_text_ja,question_text_ko,question_text_zh_hans,question_text_zh_hant,question_text_es,question_text_fr,question_text_pt,question_text_ar,question_text_hi,question_text_de,question_text_it,question_text_id
I often express genuine care for those around me,,scale,false,2024-10-28 08:37:49.836251,2024-10-28 08:37:49.836251,1130,0,私は周囲の人々に真心を持って接します,나는 주변 사람들에게 진심으로 관심을 표현합니다,我经常真诚地关心周围的人,我經常真誠地關心周圍的人,A menudo expreso un cuidado genuino por quienes me rodean,J’exprime souvent une attention sincère envers les gens autour de moi,Frequentemente expresso cuidado genuíno com os que me rodeiam,أُظهر اهتمامًا صادقًا بمن حولي في كثير من الأحيان,मैं अपने आसपास के लोगों के प्रति सच्ची परवाह व्यक्त करता हूँ,Ich zeige oft aufrichtige Fürsorge für mein Umfeld,Esprimo spesso sincera cura per chi mi circonda,Saya sering menunjukkan kepedulian yang tulus pada orang-orang di sekitar saya
I often seek out novel experiences,,scale,false,2024-10-28 08:37:47.627817,2024-10-28 08:37:47.627817,1131,0,私は新しい経験を探し求めることがよくあります,나는 종종 새로운 경험을 찾습니다,我经常寻求新鲜的体验,我經常尋求新鮮的體驗,A menudo busco experiencias novedosas,Je cherche souvent de nouvelles expériences,Frequentemente procuro novas experiências,أبحث كثيرًا عن تجارب جديدة,मैं अक्सर नए अनुभवों की तलाश करता हूँ,Ich suche oft nach neuen Erfahrungen,Cerco spesso esperienze nuove,Saya sering mencari pengalaman baru
I often disregard emotions when making decisions,,scale,false,2024-10-28 08:37:47.627817,2024-10-28 08:37:47.627817,1132,0,私は意思決定時に感情を無視することが多いです,나는 결정을 내릴 때 감정을 무시하는 경우가 많습니다,我在做决定时常常不考虑情绪,我在做決定時常常不考慮情緒,A menudo ignoro las emociones al tomar decisiones,J’ignore souvent les émotions lorsque je prends des décisions,Frequentemente desconsidero emoções ao tomar decisões,غالبًا ما أتجاهل المشاعر عند اتخاذ القرارات,मैं निर्णय लेते समय अक्सर भावनाओं की उपेक्षा करता हूँ,Bei Entscheidungen ignoriere ich häufig Emotionen,Spesso ignoro le emozioni quando prendo decisioni,Saya sering mengabaikan emosi saat membuat keputusan
I am comfortable taking on leadership roles,,scale,false,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,1133,0,私はリーダーシップの役割を引き受けるのに抵抗がありません,나는 리더십 역할을 맡는 것이 편합니다,我乐于承担领导角色,我樂於承擔領導角色,Me siento cómodo asumiendo roles de liderazgo,Je suis à l’aise pour assumer des rôles de leadership,Sinto-me confortável em assumir papéis de liderança,أشعر بالراحة عند تولي أدوار القيادة,मैं नेतृत्व की भूमिका निभाने में सहज हूँ,Ich übernehme gerne Führungsrollen,Mi sento a mio agio nel ricoprire ruoli di leadership,Saya merasa nyaman mengambil peran kepemimpinan
I often second-guess my decisions,,scale,false,2024-10-28 08:37:49.836251,2024-10-28 08:37:49.836251,1134,0,私は自分の決定を何度も疑うことがあります,나는 내 결정을 자주 다시 생각합니다,我常常对自己的决定产生怀疑,我常常對自己的決定產生懷疑,A menudo dudo de mis decisiones,Je remets souvent mes décisions en question,Frequentemente questiono minhas decisões,غالبًا ما أشك في قراراتي,मैं अक्सर अपने निर्णयों पर दोबारा विचार करता हूँ,Ich zweifle oft an meinen Entscheidungen,Metto spesso in discussione le mie decisioni,Saya sering meragukan keputusan saya
I prefer resolving conflict based on fairness over emotions,,scale,false,2024-10-28 08:37:47.627817,2024-10-28 08:37:47.627817,1135,0,私は感情よりも公正さに基づいて対立を解決したいです,나는 감정보다 공정함에 따라 갈등을 해결하길 선호합니다,我更愿意基于公正而非情感来解决冲突,我更願意基於公正而非情感來解決衝突,Prefiero resolver conflictos basándome en la justicia más que en las emociones,Je préfère résoudre les conflits selon l’équité plutôt que les émotions,Prefiro resolver conflitos com base na justiça em vez das emoções,أفضل حل النزاعات على أساس الإنصاف بدلاً من العواطف,मैं भावनाओं की बजाय निष्पक्षता के आधार पर संघर्षों को सुलझाना पसंद करता हूँ,Ich löse Konflikte lieber fair als emotional,Preferisco risolvere i conflitti in base all'equità piuttosto che alle emozioni,Saya lebih suka menyelesaikan konflik berdasarkan keadilan daripada emosi
I often feel frustrated by injustice or unfairness,,scale,false,2024-10-28 08:37:47.627817,2024-10-28 08:37:47.627817,1136,0,私は不正や不公平に対して苛立ちを感じることが多いです,나는 부당함이나 불공정함에 자주 좌절감을 느낍니다,我经常因不公正而感到沮丧,我經常因不公正而感到沮喪,A menudo me frustra la injusticia o la falta de equidad,Je me sens souvent frustré par l’injustice ou l’iniquité,Fico frequentemente frustrado com injustiças ou desigualdades,غالبًا ما أشعر بالإحباط بسبب الظلم أو عدم الإنصاف,मैं अक्सर अन्याय या पक्षपात से निराश हो जाता हूँ,Ungerechtigkeit frustriert mich oft,Spesso mi sento frustrato per ingiustizie o trattamenti scorretti,Saya sering merasa frustrasi karena ketidakadilan
I am more comfortable with routines and schedules,,scale,false,2024-10-28 08:37:47.627817,2024-10-28 08:37:47.627817,1137,0,私はルーティンやスケジュールに安心感を持ちます,나는 루틴과 일정에 더 편안함을 느낍니다,我更习惯于按规律和时间表生活,我更習慣於按規律和時間表生活,Me siento más cómodo con rutinas y horarios,Je me sens plus à l’aise avec les routines et les horaires,Sinto-me mais confortável com rotinas e horários,أشعر براحة أكبر مع الروتين والجداول الزمنية,मैं दिनचर्या और समय-सारणी में अधिक सहज महसूस करता हूँ,Mit Routinen und Zeitplänen fühle ich mich wohler,Mi sento più a mio agio con routine e orari,Saya lebih nyaman dengan rutinitas dan jadwal
I care deeply about others' well-being,,scale,false,2024-10-28 08:37:47.627817,2024-10-28 08:37:47.627817,1138,0,私は他人の幸福を深く気にかけます,나는 다른 사람의 행복을 깊이 신경 씁니다,我非常关心他人的福祉,我非常關心他人的福祉,Me importa profundamente el bienestar de los demás,Je me soucie profondément du bien-être des autres,Preocupo-me profundamente com o bem-estar dos outros,أهتم بشدة برفاهية الآخرين,मैं दूसरों की भलाई की गहराई से परवाह करता हूँ,Mir liegt das Wohlergehen anderer am Herzen,Mi interessa profondamente il benessere degli altri,Saya sangat peduli dengan kesejahteraan orang lain
I find excitement in new and varied experiences,,scale,false,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,1139,0,私は新しく多様な経験に刺激を感じます,나는 새롭고 다양한 경험에서 흥미를 느낍니다,我在新奇多样的体验中感到兴奋,我在新奇多樣的體驗中感到興奮,Encuentro emoción en experiencias nuevas y variadas,Je trouve de l’excitation dans des expériences nouvelles et variées,Acho emocionante viver experiências novas e variadas,أجد الإثارة في التجارب الجديدة والمتنوعة,मैं नई और विविध अनुभवों में रोमांच महसूस करता हूँ,Neue und abwechslungsreiche Erfahrungen begeistern mich,Trovo eccitanti esperienze nuove e varie,Saya merasa bersemangat dalam pengalaman baru dan beragam
I enjoy helping others feel valued and cared for,,scale,false,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,1140,0,私は他人が大切にされていると感じるよう助けるのが好きです,나는 다른 사람들이 소중하게 여겨지고 보살핌을 받는다고 느끼도록 돕는 것을 좋아합니다,我喜欢帮助别人感受到被重视和关爱,我喜歡幫助別人感受到被重視和關愛,Disfruto ayudar a que otros se sientan valorados y cuidados,J’aime aider les autres à se sentir valorisés et aimés,Gosto de ajudar os outros a se sentirem valorizados e cuidados,أستمتع بمساعدة الآخرين على الشعور بالتقدير والرعاية,मुझे दूसरों को मूल्यवान और cared for महसूस कराने में मदद करना पसंद है,"Ich helfe gerne anderen, sich wertgeschätzt zu fühlen",Mi piace aiutare gli altri a sentirsi apprezzati e curati,Saya menikmati membantu orang lain merasa dihargai dan diperhatikan
I am open to changing plans at the last minute,,scale,false,2024-10-28 08:37:47.627817,2024-10-28 08:37:47.627817,1141,0,私は直前の予定変更にも柔軟に対応します,나는 막판에 계획을 바꾸는 데 개방적입니다,我愿意在最后一刻改变计划,我願意在最後一刻改變計劃,Estoy abierto a cambiar planes en el último minuto,Je suis ouvert à changer les plans à la dernière minute,Estou aberto a mudar os planos no último minuto,أنا منفتح على تغيير الخطط في اللحظة الأخيرة,मैं अंतिम क्षण में योजनाएँ बदलने के लिए तैयार रहता हूँ,"Ich bin offen dafür, Pläne kurzfristig zu ändern",Sono aperto a cambiare piani all’ultimo minuto,Saya terbuka untuk mengubah rencana di menit terakhir
I am detail-oriented and precise in my work,,scale,false,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,1142,0,私は仕事で細部にこだわり正確に取り組みます,나는 일할 때 세심하고 정확합니다,我在工作中注重细节且精准,我在工作中注重細節且精準,Soy detallista y preciso en mi trabajo,Je suis minutieux et précis dans mon travail,Sou detalhista e preciso no meu trabalho,أنا دقيق ومهتم بالتفاصيل في عملي,मैं अपने काम में विस्तार से और सटीक हूँ,Ich arbeite detailgenau und präzise,Sono orientato ai dettagli e preciso nel mio lavoro,Saya berorientasi pada detail dan teliti dalam pekerjaan saya
I am uncomfortable with assertiveness in others,,scale,false,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,1143,0,私は他人の強い自己主張に違和感を覚えます,나는 다른 사람의 강한 주장에 불편함을 느낍니다,我对他人的强势感到不自在,我對他人的強勢感到不自在,Me incomoda la asertividad en los demás,Je suis mal à l’aise face à l’assurance des autres,Sinto-me desconfortável com a assertividade dos outros,أنا غير مرتاح لثقة الآخرين الزائدة,मुझे दूसरों की आक्रामकता से असहजता होती है,Dominantes Verhalten anderer ist mir unangenehm,Mi sento a disagio con l’assertività degli altri,Saya merasa tidak nyaman dengan sikap tegas dari orang lain
I do not get flustered easily,,scale,false,2024-10-28 08:37:47.627817,2024-10-28 08:37:47.627817,1144,0,私は簡単には動揺しません,나는 쉽게 당황하지 않습니다,我不容易慌张,我不容易慌張,No me altero fácilmente,Je ne me laisse pas facilement déstabiliser,Não me deixo abalar facilmente,لا أرتبك بسهولة,मैं आसानी से घबराता नहीं हूँ,Ich lasse mich nicht leicht aus der Fassung bringen,Non mi agito facilmente,Saya tidak mudah panik
I am reserved about discussing my emotions,,scale,false,2024-10-28 08:37:49.836251,2024-10-28 08:37:49.836251,1145,0,私は感情について話すのは控えめです,나는 내 감정을 이야기하는 데 조심스럽습니다,我不太愿意谈论自己的情绪,我不太願意談論自己的情緒,Soy reservado al hablar de mis emociones,Je suis réservé à propos de mes émotions,Sou reservado ao falar sobre minhas emoções,أنا متحفظ في مناقشة مشاعري,मैं अपनी भावनाओं पर बात करने में संकोच करता हूँ,Ich spreche ungern über meine Gefühle,Sono riservato nel parlare delle mie emozioni,Saya pendiam saat membicarakan emosi saya
I am outgoing and enjoy making new connections,,scale,false,2024-10-28 08:37:47.627817,2024-10-28 08:37:47.627817,1146,0,私は社交的で新しい人と繋がるのが好きです,나는 외향적이며 새로운 사람들과 연결되는 것을 즐깁니다,我很外向，喜欢结识新人,我很外向，喜歡結識新人,Soy extrovertido y disfruto hacer nuevas conexiones,Je suis sociable et j’aime établir de nouvelles connexions,Sou extrovertido e gosto de fazer novas conexões,أنا اجتماعي وأحب تكوين علاقات جديدة,मैं मिलनसार हूँ और नए लोगों से जुड़ना पसंद करता हूँ,Ich bin kontaktfreudig und lerne gerne neue Menschen kennen,Sono estroverso e mi piace creare nuove connessioni,Saya terbuka dan senang menjalin koneksi baru
I prefer having a clear process to follow,,scale,false,2024-10-28 08:37:47.627817,2024-10-28 08:37:47.627817,1147,0,私は明確なプロセスに従うことを好みます,나는 명확한 프로세스를 따르는 것을 선호합니다,我喜欢有明确流程可以遵循,我喜歡有明確流程可以遵循,Prefiero tener un proceso claro a seguir,Je préfère suivre un processus clair,Prefiro seguir um processo claro,أفضل وجود عملية واضحة يمكن اتباعها,मैं एक स्पष्ट प्रक्रिया का पालन करना पसंद करता हूँ,Ich arbeite lieber nach einem klaren Prozess,Preferisco avere un processo chiaro da seguire,Saya lebih suka memiliki proses yang jelas untuk diikuti
I tend to be optimistic and uplifting,,scale,false,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,1148,0,私は楽観的で前向きな傾向があります,나는 낙관적이고 긍정적인 경향이 있습니다,我倾向于乐观积极,我傾向於樂觀積極,Tiendo a ser optimista y alentador,J’ai tendance à être optimiste et motivant,Tendo a ser otimista e encorajador,أميل إلى التفاؤل والتشجيع,मैं आशावादी और उत्साहजनक प्रवृत्ति रखता हूँ,Ich bin meist optimistisch und aufbauend,Tendo a essere ottimista e incoraggiante,Saya cenderung optimis dan menyemangati
I strive to be efficient and productive in my work,,scale,false,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,1149,0,私は効率的かつ生産的に仕事をすることを心がけています,나는 효율적이고 생산적으로 일하려고 노력합니다,我努力让工作高效且有成果,我努力讓工作高效且有成果,Me esfuerzo por ser eficiente y productivo en mi trabajo,Je m’efforce d’être efficace et productif dans mon travail,Esforço-me para ser eficiente e produtivo no trabalho,أسعى لأن أكون فعالًا ومنتجًا في عملي,मैं अपने काम में कुशल और उत्पादक बनने का प्रयास करता हूँ,Ich strebe nach Effizienz und Produktivität,Mi sforzo di essere efficiente e produttivo nel mio lavoro,Saya berusaha menjadi efisien dan produktif dalam pekerjaan saya
I set and achieve goals regularly,,scale,false,2024-10-28 08:37:47.627817,2024-10-28 08:37:47.627817,1150,0,私は定期的に目標を設定し達成します,나는 정기적으로 목표를 설정하고 달성합니다,我定期设定并完成目标,我定期設定並完成目標,Establezco y logro metas con regularidad,Je fixe et atteins régulièrement des objectifs,Defino e alcanço metas regularmente,أحدد وأحقق الأهداف بانتظام,मैं नियमित रूप से लक्ष्य तय करता और प्राप्त करता हूँ,Ich setze regelmäßig Ziele und erreiche sie,Stabilisco e raggiungo obiettivi regolarmente,Saya menetapkan dan mencapai tujuan secara teratur
I feel drained by prolonged social interaction,,scale,false,2024-10-28 08:37:47.627817,2024-10-28 08:37:47.627817,1151,0,長時間の社交で消耗を感じます,나는 장시간의 사회적 상호작용에 지칩니다,长时间的社交让我感到筋疲力尽,長時間的社交讓我感到筋疲力盡,Me agotan las interacciones sociales prolongadas,Les interactions sociales prolongées me fatiguent,Interações sociais prolongadas me esgotam,أشعر بالإرهاق من التفاعل الاجتماعي المطول,लंबी सामाजिक बातचीत मुझे थका देती है,Lange soziale Kontakte strengen mich an,Mi sento svuotato da interazioni sociali prolungate,Saya merasa lelah setelah interaksi sosial yang berkepanjangan
I find it difficult to approach new people,,scale,false,2024-10-28 08:37:47.627817,2024-10-28 08:37:47.627817,1152,0,私は新しい人に近づくのが難しいと感じます,나는 새로운 사람에게 다가가는 것이 어렵다고 느낍니다,我觉得很难接近陌生人,我覺得很難接近陌生人,Me cuesta acercarme a personas nuevas,J’ai du mal à approcher de nouvelles personnes,Tenho dificuldade em me aproximar de novas pessoas,أجد صعوبة في الاقتراب من أشخاص جدد,मैं नए लोगों से संपर्क करने में कठिनाई महसूस करता हूँ,"Es fällt mir schwer, auf neue Menschen zuzugehen",Trovo difficile approcciare nuove persone,Saya merasa sulit mendekati orang baru
I strive to be morally upright and principled,,scale,false,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,1153,0,私は道徳的で信念を持って行動しようと努めます,나는 도덕적이고 원칙을 지키려 노력합니다,我努力保持道德正直并遵守原则,我努力保持道德正直並遵守原則,Me esfuerzo por ser moralmente recto y con principios,Je m’efforce d’être moral et de suivre mes principes,Esforço-me para ser moralmente correto e com princípios,أسعى لأن أكون مستقيمًا أخلاقيًا وذو مبادئ,मैं नैतिक और सिद्धांतों वाला बनने का प्रयास करता हूँ,"Ich strebe danach, moralisch aufrichtig zu sein",Mi sforzo di essere moralmente retto e con principi,Saya berusaha untuk hidup dengan moral yang tinggi dan berprinsip
I strive to excel in my work and personal life,,scale,false,2024-10-28 08:37:47.627817,2024-10-28 08:37:47.627817,1154,0,私は仕事と私生活の両方で成功を目指しています,나는 일과 개인 생활 모두에서 성공하려고 노력합니다,我努力在工作和生活中出色表现,我努力在工作和生活中出色表現,Me esfuerzo por sobresalir en el trabajo y la vida personal,Je m’efforce d’exceller dans mon travail et ma vie personnelle,Esforço-me para me destacar no trabalho e na vida pessoal,أسعى للتفوق في عملي وحياتي الشخصية,मैं अपने काम और व्यक्तिगत जीवन दोनों में उत्कृष्टता प्राप्त करने का प्रयास करता हूँ,Ich möchte in Beruf und Leben erfolgreich sein,Mi impegno per eccellere nel lavoro e nella vita personale,Saya berusaha unggul dalam pekerjaan dan kehidupan pribadi saya
I like structured routines over flexible plans,,scale,false,2024-10-28 08:37:47.627817,2024-10-28 08:37:47.627817,1155,0,私は柔軟な計画よりも構造化されたルーティンが好きです,나는 유연한 계획보다 구조화된 루틴을 선호합니다,我喜欢有结构的日常多于灵活的计划,我喜歡有結構的日常多於靈活的計劃,Prefiero rutinas estructuradas a planes flexibles,Je préfère des routines structurées à des plans flexibles,Prefiro rotinas estruturadas a planos flexíveis,أفضل الروتين المنظم على الخطط المرنة,मैं लचीली योजनाओं की बजाय संरचित दिनचर्या पसंद करता हूँ,Strukturierte Routinen ziehe ich flexiblen Plänen vor,Mi piacciono le routine strutturate rispetto ai piani flessibili,Saya lebih suka rutinitas terstruktur daripada rencana yang fleksibel
I am generally calm under pressure,,scale,false,2024-10-28 08:37:47.627817,2024-10-28 08:37:47.627817,1156,0,私はプレッシャー下でも概ね冷静です,나는 압박 속에서도 대체로 침착합니다,我在压力下通常很冷静,我在壓力下通常很冷靜,Generalmente estoy tranquilo bajo presión,Je suis généralement calme sous pression,Normalmente sou calmo sob pressão,أنا عادة هادئ تحت الضغط,मैं आमतौर पर दबाव में शांत रहता हूँ,Ich bleibe unter Druck meist ruhig,Sono generalmente calmo sotto pressione,Saya umumnya tenang di bawah tekanan
I am cautious about rushing into new situations,,scale,false,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,1157,0,私は新しい状況に飛び込むことに慎重です,나는 새로운 상황에 성급하게 뛰어드는 것을 조심합니다,我对贸然进入新环境持谨慎态度,我對貿然進入新環境持謹慎態度,Soy cauteloso al apresurarme en nuevas situaciones,Je suis prudent avant de me précipiter dans de nouvelles situations,Tenho cautela ao entrar em novas situações,Aتوخى الحذر عند الاندفاع في مواقف جديدة,मैं नई स्थितियों में जल्दबाज़ी करने में सावधानी बरतता हूँ,Ich bin vorsichtig bei neuen Situationen,Sono cauto nell’entrare in nuove situazioni,Saya berhati-hati dalam menghadapi situasi baru
I am drawn to creativity and self-expression,,scale,false,2024-10-28 08:37:47.627817,2024-10-28 08:37:47.627817,1158,0,私は創造性と自己表現に惹かれます,나는 창의성과 자기 표현에 끌립니다,我被创造力和自我表达所吸引,我被創造力和自我表達所吸引,Me atrae la creatividad y la autoexpresión,Je suis attiré par la créativité et l’expression de soi,Sou atraído por criatividade e autoexpressão,أنا منجذب للإبداع والتعبير عن الذات,मैं रचनात्मकता और आत्म-अभिव्यक्ति की ओर आकर्षित होता हूँ,Ich fühle mich zur Kreativität und Selbstausdruck hingezogen,Sono attratto dalla creatività e dall’espressione di sé,Saya tertarik pada kreativitas dan ekspresi diri
I seek out people who embrace authenticity,,scale,false,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,1159,0,私は本物らしさを大切にする人々を求めます,나는 진정성을 중요시하는 사람들을 찾습니다,我寻找重视真实的人,我尋找重視真實的人,Busco personas que valoren la autenticidad,Je recherche des personnes qui valorisent l’authenticité,Procuro pessoas que valorizem a autenticidade,أبحث عن أشخاص يقدّرون الأصالة,मैं ऐसे लोगों की तलाश करता हूँ जो प्रामाणिकता को महत्व देते हैं,Ich suche den Kontakt zu authentischen Menschen,Cerco persone che apprezzano l'autenticità,Saya mencari orang-orang yang menghargai keaslian
I prefer to adapt as situations change,,scale,false,2024-10-28 08:37:47.627817,2024-10-28 08:37:47.627817,1160,0,私は状況に応じて適応することを好みます,나는 상황이 변할 때 적응하는 것을 선호합니다,我更喜欢随情况变化而调整自己,我更喜歡隨情況變化而調整自己,Prefiero adaptarme a medida que cambian las situaciones,Je préfère m’adapter au fur et à mesure que les situations changent,Prefiro me adaptar à medida que as situações mudam,أفضل التكيّف مع تغيّر الظروف,मैं परिस्थितियों के अनुसार खुद को ढालना पसंद करता हूँ,Ich passe mich gerne an Veränderungen an,Preferisco adattarmi man mano che le situazioni cambiano,Saya lebih suka beradaptasi seiring perubahan situasi
I am most comfortable in calm and balanced settings,,scale,false,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,1161,0,私は落ち着いた安定した環境が最も快適です,나는 차분하고 균형 잡힌 환경에서 가장 편안함을 느낍니다,我在平静和均衡的环境中最感舒适,我在平靜和均衡的環境中最感舒適,Me siento más cómodo en entornos tranquilos y equilibrados,Je suis plus à l’aise dans des environnements calmes et équilibrés,Sinto-me mais confortável em ambientes calmos e equilibrados,أشعر براحة أكبر في البيئات الهادئة والمتوازنة,मैं शांत और संतुलित वातावरण में सबसे अधिक सहज महसूस करता हूँ,Ich fühle mich in ruhigen und ausgeglichenen Umgebungen am wohlsten,Mi sento più a mio agio in ambienti calmi ed equilibrati,Saya merasa paling nyaman di lingkungan yang tenang dan seimbang
I am observant of others’ behavior before trusting them,,scale,false,2024-10-28 08:37:49.836251,2024-10-28 08:37:49.836251,1162,0,私は他人を信用する前に行動を観察します,나는 다른 사람을 믿기 전에 그들의 행동을 관찰합니다,我在信任他人前会观察他们的行为,我在信任他人前會觀察他們的行為,Observo el comportamiento de los demás antes de confiar,Je suis observateur du comportement des autres avant de leur faire confiance,Observo o comportamento dos outros antes de confiar neles,أراقب سلوك الآخرين قبل الوثوق بهم,मैं दूसरों पर भरोसा करने से पहले उनके व्यवहार को देखता हूँ,"Ich beobachte das Verhalten anderer, bevor ich Vertrauen schenke",Osservo il comportamento degli altri prima di fidarmi,Saya mengamati perilaku orang lain sebelum mempercayai mereka
I find it hard to stay organized,,scale,false,2024-10-28 08:37:47.627817,2024-10-28 08:37:47.627817,1163,0,私は整理整頓を保つのが苦手です,나는 정리정돈을 유지하기 어렵다고 느낍니다,我觉得很难保持有序,我覺得很難保持有序,Me cuesta mantenerme organizado,Il m’est difficile de rester organisé,Tenho dificuldade em manter-me organizado,أجد صعوبة في البقاء منظمًا,मुझे संगठित रहना कठिन लगता है,"Es fällt mir schwer, organisiert zu bleiben",Trovo difficile restare organizzato,Saya merasa sulit untuk tetap teratur
I enjoy being in social environments,,scale,false,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,1164,0,私は社交的な環境にいるのが好きです,나는 사교적인 환경에 있는 것을 좋아합니다,我喜欢身处社交环境,我喜歡身處社交環境,Disfruto estar en entornos sociales,J’aime être dans des environnements sociaux,Gosto de estar em ambientes sociais,أستمتع بالتواجد في بيئات اجتماعية,मुझे सामाजिक माहौल में रहना पसंद है,Ich bin gerne in sozialen Umfeldern,Mi piace stare in ambienti sociali,Saya menikmati berada di lingkungan sosial
I am private about my inner thoughts and feelings,,scale,false,2024-10-28 08:37:49.836251,2024-10-28 08:37:49.836251,1165,0,私は内面の思考や感情を人にあまり話しません,나는 내면의 생각과 감정을 비공개로 유지합니다,我对内心的想法和情感很保密,我對內心的想法和情感很保密,Soy reservado con mis pensamientos y sentimientos internos,Je suis réservé quant à mes pensées et émotions intérieures,Sou reservado sobre meus pensamentos e sentimentos internos,أحتفظ بأفكاري ومشاعري لنفسي,मैं अपने आंतरिक विचारों और भावनाओं को निजी रखता हूँ,Meine Gedanken und Gefühle behalte ich meist für mich,Sono riservato riguardo ai miei pensieri ed emozioni interiori,Saya tertutup tentang pikiran dan perasaan batin saya
I am curious about unusual ideas and concepts,,scale,false,2024-10-28 08:37:47.627817,2024-10-28 08:37:47.627817,1166,0,私は珍しいアイデアや概念に興味があります,나는 독특한 아이디어와 개념에 호기심이 많습니다,我对不同寻常的想法和概念充满好奇,我對不同尋常的想法和概念充滿好奇,Siento curiosidad por ideas y conceptos inusuales,Je suis curieux des idées et concepts inhabituels,Tenho curiosidade sobre ideias e conceitos incomuns,أنا فضولي بشأن الأفكار والمفاهيم غير المألوفة,मैं असामान्य विचारों और अवधारणाओं के प्रति जिज्ञासु हूँ,Ich bin neugierig auf ungewöhnliche Ideen und Konzepte,Sono curioso di idee e concetti insoliti,Saya penasaran tentang ide dan konsep yang tidak biasa
I enjoy inspiring others with my enthusiasm,,scale,false,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,1167,0,私は自分の情熱で他人を励ますのが好きです,나는 나의 열정으로 다른 사람에게 영감을 주는 것을 즐깁니다,我喜欢用自己的热情激励他人,我喜歡用自己的熱情激勵他人,Disfruto inspirar a otros con mi entusiasmo,J’aime inspirer les autres avec mon enthousiasme,Gosto de inspirar os outros com meu entusiasmo,أحب إلهام الآخرين بحماسي,मैं अपने उत्साह से दूसरों को प्रेरित करना पसंद करता हूँ,Ich inspiriere andere gerne mit meiner Begeisterung,Mi piace ispirare gli altri con il mio entusiasmo,Saya menikmati menginspirasi orang lain dengan antusiasme saya
I enjoy learning new things and analyzing details,,scale,false,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,1168,0,私は新しいことを学び、細部を分析するのが好きです,나는 새로운 것을 배우고 세부 사항을 분석하는 것을 즐깁니다,我喜欢学习新知识并分析细节,我喜歡學習新知識並分析細節,Disfruto aprender cosas nuevas y analizar los detalles,J’aime apprendre de nouvelles choses et analyser les détails,Gosto de aprender coisas novas e analisar detalhes,أستمتع بتعلم أشياء جديدة وتحليل التفاصيل,मुझे नई चीजें सीखना और विवरणों का विश्लेषण करना पसंद है,Ich lerne gerne Neues und analysiere Details,Mi piace imparare cose nuove e analizzare i dettagli,Saya menikmati belajar hal baru dan menganalisis detail
I am more comfortable relying on myself than others,,scale,false,2024-10-28 08:37:47.627817,2024-10-28 08:37:47.627817,1169,0,私は他人より自分に頼る方が安心します,나는 다른 사람보다 자신에게 의존하는 것이 더 편합니다,我更倾向于依赖自己而不是别人,我更傾向於依賴自己而不是別人,Me siento más cómodo confiando en mí mismo que en otros,Je suis plus à l’aise en comptant sur moi-même que sur les autres,Sinto-me mais confortável confiando em mim mesmo do que nos outros,أشعر براحة أكبر عند الاعتماد على نفسي بدلاً من الآخرين,मैं दूसरों की बजाय खुद पर निर्भर होना अधिक सहज मानता हूँ,Ich verlasse mich lieber auf mich selbst als auf andere,Mi sento più a mio agio facendo affidamento su me stesso che sugli altri,Saya lebih nyaman mengandalkan diri sendiri daripada orang lain
I prefer to handle tasks independently,,scale,false,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,1170,0,私はタスクを自分で処理するのを好みます,나는 일을 독립적으로 처리하는 것을 선호합니다,我喜欢独立完成任务,我喜歡獨立完成任務,Prefiero manejar tareas por mi cuenta,Je préfère gérer les tâches de manière indépendante,Prefiro lidar com tarefas de forma independente,أفضل إنجاز المهام بشكل مستقل,मैं कार्यों को स्वतंत्र रूप से करना पसंद करता हूँ,Ich erledige Aufgaben lieber eigenständig,Preferisco gestire i compiti in autonomia,Saya lebih suka menangani tugas secara mandiri
I tend to be calm and composed under pressure,,scale,false,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,1171,0,私はプレッシャーの中でも冷静で落ち着いている傾向があります,나는 압박 속에서도 침착하고 차분한 편입니다,我在压力下通常很冷静沉着,我在壓力下通常很冷靜沉著,Tiendo a estar calmado y sereno bajo presión,J’ai tendance à rester calme et posé sous pression,Tendo a manter a calma sob pressão,أميل إلى التزام الهدوء والتوازن تحت الضغط,मैं दबाव में शांत और संयमित रहने की प्रवृत्ति रखता हूँ,Ich bleibe unter Druck meist ruhig und gesammelt,Tendo a essere calmo e composto sotto pressione,Saya cenderung tenang dan terkendali di bawah tekanan
